No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
598,SHIP CONSTRUCTION,Kilkenny,"The Broguemaker, Kilkenny",15,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
599,CAS CONSTRUCTION,Kilkenny,"Kingsriver, Ennisnag",2,Kingsriver Housing Association Limited,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
600,CAS CONSTRUCTION,Kilkenny,Garrin Green,6,SOS Kilkenny Housing Association Ltd,,,,,Q3-2018,
601,CAS CONSTRUCTION,Kilkenny,"Hazelbrook, Newrath",2,Waterford Dove Housing Association,,,,,,Q1-2018
602,CAS CONSTRUCTION,Kilkenny,Good Shepherd Centre - Wing 1952,12,The Good Shepherd Centre (Kilkenny) Ltd,,,,,Q2-2018,
603,CAS CONSTRUCTION,Kilkenny,Nimble Spaces Project at Callan,15,Camphill Communities of Ireland,,,,"Stage 4 approved Q1-2018, the scheme is fully approved.",,
604,CAS CONSTRUCTION,Kilkenny,"""Brooke House"", Thomastown",5,Camphill Communities of Ireland,,,,,,Q3-2017
605,CAS CONSTRUCTION,Kilkenny,"Friary Walk, Callan",12,Cluid Housing Association,,,,,,Q3-2016
606,CAS CONSTRUCTION,Kilkenny,"Camphill ~Communities Garden Cottage, The Workhouse, Callan",1,Camphill Communities of Ireland,,,,,,Q4-2017
607,CAS CONSTRUCTION,Kilkenny,"Kyle, Callan, Co. Kilkenny",4,Camphill Communities of Ireland,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
608,CAS CONSTRUCTION,Kilkenny,"""Red Barn"" Patrick Street, Ballyragget",16,Good Shepherd Services Ltd,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
609,CAS CONSTRUCTION,Kilkenny,"Smith's Road, Ballyraggett Oaklee",4,Oaklee Housing Trust,,,,,Q2-2018,
610,CAS CONSTRUCTION,Kilkenny,Fennelly's Lane Jerpoint,5,Camphill Communities of Ireland,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
611,CAS CONSTRUCTION,Kilkenny,"8/9 Kilkenny Street, Castlecomer",4,Good Shepherd Services Ltd,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
612,CAS CONSTRUCTION,Kilkenny,"19/21 Blackmill Street, Kilkenny",12,Good Shepherd Services Ltd,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
613,CAS CONSTRUCTION,Kilkenny,"Brother Thomas Place, Church Lane, kilkenny",12,Good Shepherd Services Ltd,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
614,CALF Construction,Laois,"55 56 Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,Cluid Housing ,,,,,,Q2-2018
615,CALF Construction,Laois,"POST TENDER - Cluinin  Mountrath, Co. Laois (Phase 1)",11,Oaklee Housing ,,,,,,Q1-2018
616,CALF Turnkey,Laois,"31-36 Droimnin, Stradbally, Co Laois  (Phase 1)",6,Cluid Housing ,,,,,,Q3-2018
617,CALF Turnkey,Laois,"Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 1)",17,Túath Housing Association Ltd,,,,,,Q3-2018
618,CALF Turnkey,Laois,"Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 2)",9,Túath Housing Association Ltd,,,,,Q1-2018,
619,CALF Turnkey,Laois,"Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 3)",13,Túath Housing Association Ltd,,,,,Q1-2018,
620,SHIP CONSTRUCTION,Laois,"Moore Street, Rathdowney",6,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
621,SHIP CONSTRUCTION,Laois,"Harpurs Lane, Portlaoise",1,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
622,SHIP CONSTRUCTION,Laois,"Ballymorris Road, Portarlington",22,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
623,SHIP CONSTRUCTION,Laois,"Gleann na Glaise, Ballyroan",10,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
624,SHIP CONSTRUCTION,Laois,Pattison Est. Mountmellick,10,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
625,SHIP CONSTRUCTION,Laois,"Shannon Street, Mountrath",6,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
626,SHIP CONSTRUCTION,Laois,"Conniberry Way, Old Knockmay Road, Portlaoise",33,*N/A,,,,,,Q2-2018
627,SHIP CONSTRUCTION,Laois,"54a & 54b Hillview, Portlaoise",2,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
628,SHIP CONSTRUCTION,Laois,"Harbour Court, Mountmellick",6,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
629,SHIP CONSTRUCTION,Laois,"Mooreville, Rathdowney",8,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
630,CAS CONSTRUCTION,Laois,"Abbeyleix Road, Portlaoise",16,Respond,"Stage 1 approved Q3-2015, outline design and costs are being prepared.",,,,,
631,CAS CONSTRUCTION,Laois,"Presentation Convent & Lands, Portlaoise, ",47,Sophia Housing Association Ltd,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
632,CALF Turnkey,Leitrim,"Cnoc an Iuir, Drumshanbo, Co. Leitrim (Phase 1)",10,Co-operative Housing Ireland,,,,Q3-2018,,
633,SHIP CONSTRUCTION,Leitrim,"Autumn View, Summerhill, Carrick on Shannon",28,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
634,SHIP CONSTRUCTION,Leitrim,"Taobh Tire, Manorhamilton (Phase 2)",7,*N/A,,,,,Q2-2017,
635,CAS CONSTRUCTION,Leitrim,Ballinamore,2,Society of Saint Vincent de Paul,,,,,,Q4-2017
636,CALF Construction,Limerick,"Cosgrave Park, Moyross, Limerick City  (Phase 1)",21,Co-operative Housing Ireland,,,,,Q2-2018,
637,CALF Construction,Limerick,"Hyde Road, Limerick City (Phase 1)",20,Cluid Housing ,,,,,,Q1-2018
638,CALF Turnkey,Limerick,"Cluain Ard, Fedamore, Co Limerick  (Phase 1)",2,Co-operative Housing Ireland,,,,,,Q1-2018
639,CALF Turnkey,Limerick,"Cluain Ard, Fedamore, Co Limerick  (Phase 2)",2,Co-operative Housing Ireland,,,,,,Q3-2018
640,CALF Turnkey,Limerick,"Revised - Ard Aulin, Mungret, Co Limerick (Phase 1)",7,Cluid Housing ,,,,,,Q2-2017
641,SHIP CONSTRUCTION TURNKEY,Limerick,"Woodlawn Park, Ballysimon Road, Limerick",11,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
642,SHIP CONSTRUCTION RAPID,Limerick,"Deerpark, Adare",30,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
643,SHIP CONSTRUCTION RAPID,Limerick,"Lisheen Park, Patrickswell",16,*N/A,,,,,Q3-2018,
644,SHIP CONSTRUCTION RAPID,Limerick,"Old Christians Site, Rathbane",33,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
645,SHIP CONSTRUCTION RAPID,Limerick,Mountpelier,10,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
646,SHIP CONSTRUCTION RAPID,Limerick,Knocklong,10,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
647,SHIP CONSTRUCTION RAPID,Limerick,Patrickswell (Site 2),24,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
648,SHIP CONSTRUCTION,Limerick,"Patrick?s Villas, Castleconnell",4,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
649,SHIP CONSTRUCTION,Limerick,"Ballysimon, Greenhill Road ",14,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
650,SHIP CONSTRUCTION,Limerick,"Gough Place, Rosbrien Road, Limerick",7,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
651,SHIP CONSTRUCTION,Limerick,"1-12 Burke Avenue, Limerick City",12,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
652,SHIP CONSTRUCTION,Limerick,"Chas Flats, Limerick City",3,*N/A,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
653,SHIP CONSTRUCTION,Limerick,"Joseph Street, Limerick City",3,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
654,SHIP CONSTRUCTION,Limerick,"Wallers Well, Limerick City (Phase 2)",13,*N/A,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
655,SHIP CONSTRUCTION,Limerick,"Clonmacken, Limerick City",38,*N/A,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
656,SHIP CONSTRUCTION,Limerick,"Glenview Drive, Hospital",20,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
657,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",7,*N/A,,,,,Q3-2018,
658,SHIP CONSTRUCTION,Limerick,"Hasset Villas, Thomondgate",3,*N/A,,,,,Q2-2018,
659,SHIP CONSTRUCTION,Limerick,"Kilmurry Court, Garryowen",6,*N/A,,,,,Q3-2018,
660,SHIP CONSTRUCTION,Limerick,"Vance's Lands, Limerick City",37,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
661,SHIP CONSTRUCTION,Limerick,"Rathbane Road, Limerick City",2,*N/A,,,,,Q2-2018,
662,SHIP CONSTRUCTION,Limerick,"Sycamore Avenue, Limerick City",5,*N/A,,,,,Q3-2018,
663,SHIP CONSTRUCTION,Limerick,"Lower Carey's Road, Limerick City",11,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
664,SHIP CONSTRUCTION,Limerick,"Ballygrennan Road, Moyross",3,*N/A,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
665,SHIP CONSTRUCTION,Limerick,"Kileely Road, Moyross",5,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
666,SHIP CONSTRUCTION,Limerick,"Ballygreannan Road, Limerick City",2,*N/A,,,,,,Q4-2017
667,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",2,*N/A,,,,,,Q4-2017
668,SHIP CONSTRUCTION,Limerick,Ballyhahill,4,*N/A,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
669,SHIP CONSTRUCTION,Limerick,"Convent Street, King's Island",2,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
670,SHIP CONSTRUCTION,Limerick,"Knockalisheen Road, Moyross",5,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
671,SHIP CONSTRUCTION,Limerick,"Colbert Terrace, Abbeyfeale",9,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
672,SHIP CONSTRUCTION,Limerick,"St. Michael's Court, Watergate Flats, ",9,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
673,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",79,*N/A,,,,,,Q4-2017
674,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",2,*N/A,,,,,,Q1-2017
675,REGENERATION,Limerick,Gaol Lane,1,*N/A,,"Stage 2 approved Q3-2016, full design/tender being prepared.",,,,
676,REGENERATION,Limerick,Sheep / Athlunkards Street,8,*N/A,,"Stage 2 approved Q2-2014, full design/tender being prepared.",,,,
677,REGENERATION,Limerick,Churchfield (Phase 1.2),19,*N/A,,,,,,Q1-2018
678,REGENERATION,Limerick,Churchfield (Phase 2),38,Circle Voluntary Housing Association Ltd,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
679,REGENERATION,Limerick,Cosgrave Park,30,Co-operative Housing Ireland (Formerly NABCo),,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
680,REGENERATION,Limerick,Palm Court,27,Respond,,"Stage 2 approved Q3-2016, full design/tender being prepared.",,,,
681,REGENERATION,Limerick,Orchard Site,26,Oaklee Housing Trust,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
682,REGENERATION,Limerick,176 & 177 Cliona Park,2,*N/A,,,,,,Q2-2016
683,REGENERATION,Limerick,Cliona Park (Phase 2),10,*N/A,,,,,,Q2-2017
684,REGENERATION,Limerick,8-10 Gaol Lane,3,*N/A,,,,,,Q4-2016
685,REGENERATION,Limerick,1 3 Weston Gardens,3,*N/A,,,,,,Q2-2016
686,REGENERATION,Limerick,2016 Moyross Rebuild,6,*N/A,,,,,,Q4-2016
687,REGENERATION,Limerick,2016 Southhill Rebuild,8,*N/A,,,,,,Q4-2016
688,REGENERATION,Limerick,2016 St. Mary's Park Rebuild,9,*N/A,,,,,,Q4-2016
689,REGENERATION,Limerick,"BCW Vacant Refurbs, Lot 1 & 2**",14,*N/A,,,,,,Q4-2016
690,REGENERATION,Limerick,St. Mary's Park Infills,19,Túath Housing Association Ltd,,,,,Q3-2017,
691,REGENERATION,Limerick,Cliona Park (Phase 3),18,Túath Housing Association Ltd,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
692,REGENERATION,Limerick,Carew Park,37,*N/A,"Stage 1 approved Q1-2015, outline design and costs are being prepared.",,,,,
693,REGENERATION,Limerick,45-46 Cliona Park,2,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
694,REGENERATION,Limerick,Dalgaish Park,24,Cluid Housing Association,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
695,REGENERATION,Limerick,Markievicz Drive,13,*N/A,"Stage 1 approved Q1-2015, outline design and costs are being prepared.",,,,,
696,REGENERATION,Limerick,2017 St Mary's Park Rebuild,1,*N/A,,,,,,Q4-2017
697,REGENERATION,Limerick,2017 Ballinacurra Weston Rebuild,1,*N/A,,,,,,Q4-2017
698,REGENERATION,Limerick,2017 Southill Rebuilds,13,*N/A,,,,,,Q4-2017
699,REGENERATION,Limerick,2017 Moyross Rebuild,1,*N/A,,,,,,Q4-2017
700,REGENERATION,Limerick,Churchfield (Phase 1.1),23,*N/A,,,,,,Q2-2018
701,CAS CONSTRUCTION,Limerick,"Towerfield Crescent, Croom",10,Croom Voluntary Housing Association Ltd,,,,,Q2-2018,
702,CAS CONSTRUCTION,Limerick,Cappamore,12,Cappamore Housing Association Ltd,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
703,CAS CONSTRUCTION,Limerick,"Speakers Corner, Limerick City",4,Simon Community : Midwest Simon,,,,,,Q3-2018
704,CAS CONSTRUCTION,Limerick,"Cuan Mhuire, Bruree",6,Cuan Mhuire Teoranta,,,,,,Q3-2018
705,CAS CONSTRUCTION,Limerick,"Mirth, Thomondgate",18,Associated Charities Trust Ltd,,,,,Q2-2018,
706,CAS CONSTRUCTION,Limerick,"Cois na Feile, Abbeyfeale ",12,Cluid Housing Association,,,,,,Q4-2016
707,CAS CONSTRUCTION,Limerick,2/3 Mallow Street,6,Peter McVerry Trust Ltd,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
708,CAS CONSTRUCTION,Limerick,"Pinewood, Mulcaire drive, Garraunykee",1,Daughters Of Charity Of St Vincent De Paul,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
709,CALF Construction,Longford,"Colmcille Terrace, Granard, Co. Longford. (Phase 1)",21,Túath Housing Association Ltd,,,,Q2-2018,,
710,CALF Turnkey,Longford,"Cartrun Breac, Lisbrack Rd, Longford (Phase 1)",7,Cluid Housing ,,,,,,Q1-2017
711,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish (Phase 1)",14,*N/A,,,,,,Q4-2017
712,SHIP CONSTRUCTION TURNKEY,Longford,"Knock, Lanesborough (Phase 1)",4,*N/A,,,,,,Q3-2018
713,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish (Phase 2)",2,*N/A,,,,,,Q1-2018
714,SHIP CONSTRUCTION TURNKEY,Longford,Ballinamuck (Phase 1),4,*N/A,,,,,Q3-2018,
715,SHIP CONSTRUCTION TURNKEY,Longford,Ballinamuck (Phase 2),8,*N/A,,,,,Q3-2018,
716,SHIP CONSTRUCTION TURNKEY,Longford,Ballinamuck (Phase 3),2,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
717,SHIP CONSTRUCTION TURNKEY,Longford,"Knock, Lanesborough (Phase 2)",27,*N/A,,,,,Q2-2018,
718,SHIP CONSTRUCTION TURNKEY,Longford,"Rock View, Cloondara, Co. Longford",5,*N/A,,,,,Q2-2018,
719,SHIP CONSTRUCTION TURNKEY,Longford,"Greville Court, Granard, Co. Longford",14,*N/A,,,,,Q3-2018,
720,SHIP CONSTRUCTION,Longford,"Church View, Lanesborough",14,*N/A,"Stage 1 approved Q3-2015, outline design and costs are being prepared.",,,,,
721,SHIP CONSTRUCTION,Longford,"Rathcline Road, Lanesborough",4,*N/A,,,,,Q3-2018,
722,SHIP CONSTRUCTION,Longford,"Edgeworthstown Road, Ballymahon",4,*N/A,,,,,,Q1-2018
723,SHIP CONSTRUCTION,Longford,"Daroge, Ballymahon",1,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
724,SHIP CONSTRUCTION,Longford,"'Rose Cottage', Ballinalee",6,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
725,CALF Construction,Louth,"2 Slieve Row Crescent, Dundalk (Phase 1)",1,Cluid Housing ,,,,,,Q2-2016
726,CALF Construction,Louth,"Bishops Court, Dundalk, Co Louth  (Phase 1)",2,Túath Housing Association Ltd,,,,Q2-2017,,
727,CALF Construction,Louth,"Fire Station Site, Scarlett St, Drogheda (Phase 1)",15,North & East Housing Association Ltd,,,,,Q1-2018,
728,CALF Construction,Louth,"Post Tender - Clos na Manach, Carlingford, Co Louth (Phase 1)",10,Túath Housing Association Ltd,,,,,,Q2-2018
729,CALF Turnkey,Louth,"10 Termonview, Baltray Road, Termonfeckin, Drogheda, Co.Louth (Phase 1)*",1,North & East Housing Association Ltd,,,,Q3-2018,,
730,CALF Turnkey,Louth,"Aston Village, Drogheda (Phase 1)*",8,Respond,,,,,,Q3-2018
731,CALF Turnkey,Louth,"Castle Court, Castlebellingham, Louth (Phase 1)",4,Cluid Housing ,,,,,,Q1-2017
732,CALF Turnkey,Louth,"Castle Court, Castlebellingham, Louth (Phase 2)",10,Cluid Housing ,,,,,,Q1-2017
733,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 1)",9,Túath Housing Association Ltd,,,,,,Q1-2018
734,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 2)*",20,Túath Housing Association Ltd,,,,,,Q1-2018
735,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 3)",8,Túath Housing Association Ltd,,,,,,Q3-2018
736,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 4)",15,Túath Housing Association Ltd,,,,,,Q3-2018
737,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 5)",6,Túath Housing Association Ltd,,,,,Q2-2017,
738,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 6)*",44,Túath Housing Association Ltd,,,,,Q2-2017,
739,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 1)*",13,Túath Housing Association Ltd,,,,,Q1-2018,
740,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 2)",10,Túath Housing Association Ltd,,,,,Q1-2018,
741,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 3)",5,Túath Housing Association Ltd,,,,,Q1-2018,
742,CALF Turnkey,Louth,Coulter Place Armagh Road (Phase 1),10,Cluid Housing ,,,,,,Q1-2017
743,CALF Turnkey,Louth,Coulter Place Armagh Road (Phase 2),12,Cluid Housing ,,,,,,Q3-2017
744,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 1)*",12,Túath Housing Association Ltd,,,,,Q2-2018,
745,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 10)*",10,Túath Housing Association Ltd,,,,,Q2-2018,
746,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 2)*",12,Túath Housing Association Ltd,,,,,Q2-2018,
747,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 3)*",8,Túath Housing Association Ltd,,,,,Q2-2018,
748,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 4)*",11,Túath Housing Association Ltd,,,,,Q2-2018,
749,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 5)*",15,Túath Housing Association Ltd,,,,,Q2-2018,
750,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 6)*",10,Túath Housing Association Ltd,,,,,Q2-2018,
751,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 7)*",12,Túath Housing Association Ltd,,,,,Q2-2018,
752,CALF Turnkey,Louth,"*Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 8)*",8,Túath Housing Association Ltd,,,,,Q2-2018,
753,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 9)*",14,Túath Housing Association Ltd,,,,,Q2-2018,
754,CALF Turnkey,Louth,"Knock Shee, Old Golf Links Road, Blackrock, Co Louth  (Phase 1)",3,Cluid Housing ,,,,,,Q4-2017
755,CALF Turnkey,Louth,"Liscorrie, Bog Lane, Drogheda (Phase 1)",41,Túath Housing Association Ltd,,,,,,Q4-2017
756,CALF Turnkey,Louth,"Rath na Gloine, Commons Road, Louth (Phase 1)",3,Cluid Housing ,,,,,,Q3-2016
757,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 1)",3,North & East Housing Association Ltd,,,,,Q4-2017,
758,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 2)",5,North & East Housing Association Ltd,,,,,Q4-2017,
759,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 3)",6,North & East Housing Association Ltd,,,,,Q4-2017,
760,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 4)",4,North & East Housing Association Ltd,,,,,Q4-2017,
761,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 5)",5,North & East Housing Association Ltd,,,,,Q4-2017,
762,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 6)",15,North & East Housing Association Ltd,,,,,Q4-2017,
763,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 7)",4,North & East Housing Association Ltd,,,,,Q4-2017,
764,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 1)",4,Túath Housing Association Ltd,,,,,,Q2-2018
765,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 2)",6,Túath Housing Association Ltd,,,,,,Q3-2018
766,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 3)",4,Túath Housing Association Ltd,,,,,,Q3-2018
767,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 4)",15,Túath Housing Association Ltd,,,,,Q4-2017,
768,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 5)",6,Túath Housing Association Ltd,,,,,Q4-2017,
769,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 6)",16,Túath Housing Association Ltd,,,,,Q4-2017,
770,CALF Turnkey,Louth,"Revised - 43 Units at Mount Hamilton, Dundalk, Co Louth (Phase 1)",12,Cluid Housing ,,,,,,Q4-2017
771,CALF Turnkey,Louth,"Revised - 43 Units at Mount Hamilton, Dundalk, Co Louth (Phase 2)",16,Cluid Housing ,,,,,Q4-2016,
772,CALF Turnkey,Louth,"Revised - 43 Units at Mount Hamilton, Dundalk, Co Louth (Phase 3)",15,Cluid Housing ,,,,,Q4-2016,
773,CALF Turnkey,Louth,"The Loakers, Blackrock, Co. Louth (Phase 1)*",16,Cluid Housing ,,,,,Q3-2018,
774,SHIP CONSTRUCTION,Louth,"55/57 Bothar Brugha, Drogheda",3,*N/A,,,,,,Q4-2017
775,SHIP CONSTRUCTION,Louth,Drogheda (Derelicts Project - Phase 1),4,*N/A,,,,,,Q1-2018
776,SHIP CONSTRUCTION,Louth,Dundalk (Derelicts Project),7,*N/A,,,,,,Q3-2018
777,SHIP CONSTRUCTION,Louth,Dundalk (Derelicts Project),1,*N/A,,,,,,Q2-2018
778,SHIP CONSTRUCTION,Louth,Dundalk B&R project (1),7,*N/A,,,,,,Q4-2016
779,SHIP CONSTRUCTION,Louth,Dundalk B&R project (2),7,*N/A,,,,,,Q2-2017
780,SHIP CONSTRUCTION,Louth,Dundalk B&R project (3),4,*N/A,,,,,,Q3-2017
781,SHIP CONSTRUCTION,Louth,"Woodlands, Dunleer",4,*N/A,,,,,,Q4-2016
782,SHIP CONSTRUCTION,Louth,Boice Court (Phase 2 - 4),69,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
783,SHIP CONSTRUCTION,Louth,Father Finn Park (Phase 2),17,*N/A,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
784,SHIP CONSTRUCTION,Louth,Dundalk B&R project (4),6,*N/A,,,,,,Q4-2017
785,SHIP CONSTRUCTION,Louth,"Mount Avenue, Dundalk",75,*N/A,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
786,SHIP CONSTRUCTION,Louth,Dundalk B&R project (5),5,*N/A,,,,,,Q4-2017
787,SHIP CONSTRUCTION,Louth,Drogheda (Derelicts Project - Phase 2),4,*N/A,,,,,Q3-2017,
788,SHIP CONSTRUCTION,Louth,Drogheda (Derelicts Project - Phase 3),4,*N/A,,,,,Q3-2017,
789,REGENERATION,Louth,Cox's Demesne Phase 2a,14,*N/A,,,,,,Q4-2016
790,REGENERATION,Louth,Cox's Demesne Phase 2b,22,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
791,CAS CONSTRUCTION,Louth,"5 Slieveroe Cresent, Dundalk",1,Cluid Housing Association,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
792,CAS CONSTRUCTION,Louth,"Castletowncooley, Riverstown, Dundalk",1,Túath Housing Association Ltd,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
793,CAS CONSTRUCTION,Louth,"Barrack Street, Dundalk",21,Simon Community : Dundalk Simon,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
794,CAS CONSTRUCTION,Louth,"Saltown, Dundalk",7,North  East Housing Association Ltd,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
795,CAS CONSTRUCTION,Louth,"McArdle Green (Moneymore), Drogheda",1,North  East Housing Association Ltd,,,,,Q1-2018,
796,CAS CONSTRUCTION,Louth,"Tierney Street, Ardee",7,Oaklee Housing Trust,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
