No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION,Limerick,"Lower Carey's Road, Limerick City",11,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Ballygrennan Road, Moyross",3,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Kileely Road, Moyross",5,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Ballygreannan Road, Limerick City",2,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",2,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Limerick,Ballyhahill,4,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Knockalisheen Road, Moyross",5,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Colbert Terrace, Abbeyfeale",9,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Limerick,"St. Michael's Court, Watergate Flats, ",9,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",79,*N/A,,,,,,Q4-2017
,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",2,*N/A,,,,,,Q1-2017
,REGENERATION,Limerick,Gaol Lane,1,*N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Sheep / Athlunkards Street,8,*N/A,,"Stage 2 approved in Q2-2014, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Churchfield (Phase 1.1),19,*N/A,,,,,,Q1-2018
,REGENERATION,Limerick,Churchfield (Phase 1.2),23,*N/A,,,,,,Q2-2018
,REGENERATION,Limerick,Churchfield (Phase 2),38,Circle Voluntary Housing Association Ltd,,"Stage 2 approved in Q4-2014, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Cosgrave Park,30,Co-operative Housing Ireland (Formerly NABCo),,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,REGENERATION,Limerick,Palm Court,27,Respond,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Orchard Site,26,Oaklee Housing Trust,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,REGENERATION,Limerick,176 & 177 Cliona Park,2,*N/A,,,,,,Q2-2016
,REGENERATION,Limerick,Cliona Park (Phase 2),10,*N/A,,,,,,Q2-2017
,REGENERATION,Limerick,8-10 Gaol Lane,3,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,1 3 Weston Gardens,3,*N/A,,,,,,Q2-2016
,REGENERATION,Limerick,2016 Moyross Rebuild,6,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,2016 Southhill Rebuild,8,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,2016 St. Mary's Park Rebuild,9,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,"BCW Vacant Refurbs, Lot 1 & 2**",13,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,St. Mary's Park Infills,19,Túath Housing Association Ltd,,,,,Q3-2017,
,REGENERATION,Limerick,Cliona Park (Phase 3),18,Túath Housing Association Ltd,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Carew Park,37,*N/A,"Stage 1 approved in Q1-2015, outline design and costs being prepared.",,,,,
,REGENERATION,Limerick,45-46 Cliona Park,2,*N/A,,"Stage 2 approved in Q1-2016, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Dalgaish Park,24,Cluid Housing Association,"Stage 1 approved in Q2-2015, outline design and costs being prepared.",,,,,
,REGENERATION,Limerick,Markievicz Drive,13,*N/A,"Stage 1 approved in Q1-2015, outline design and costs being prepared.",,,,,
,REGENERATION,Limerick,2017 St Mary's Park Rebuild,1,*N/A,,,,,,Q4-2017
,REGENERATION,Limerick,2017 Ballinacurra Weston Rebuild,1,*N/A,,,,,,Q4-2017
,REGENERATION,Limerick,2017 Southill Rebuilds,13,*N/A,,,,,,Q4-2017
,REGENERATION,Limerick,2017 Moyross Rebuild,1,*N/A,,,,,,Q4-2017
,CAS CONSTRUCTION,Limerick,"Towerfield Crescent, Croom",10,Croom Voluntary Housing Association Ltd,,,,,Q2-2018,
,CAS CONSTRUCTION,Limerick,Cappamore,12,Cappamore Housing Association Ltd,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Limerick,"Speakers Corner, Limerick City",4,Simon Community : Midwest Simon,,,,,Q1-2018,
,CAS CONSTRUCTION,Limerick,"Cuan Mhuire, Bruree",6,Cuan Mhuire Teoranta,,,,,Q1-2018,
,CAS CONSTRUCTION,Limerick,"Mirth, Thomondgate",12,Associated Charities Trust Ltd,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Limerick,"Cois na Feile, Abbeyfeale ",12,Cluid Housing Association,,,,,,Q4-2016
,CAS CONSTRUCTION,Limerick,"Convent Street, King's Island",2,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Limerick,2/3 Mallow Street,6,Peter McVerry Trust Ltd,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CALF Turnkey,Limerick,"Cluain Ard, Fedamore, Co Limerick  (Phase 1)",2,Co-operative Housing Ireland,,,,,,Q1-2018
,CALF Turnkey,Limerick,"Cluain Ard, Fedamore, Co Limerick  (Phase 2)",2,Co-operative Housing Ireland,,,,,Q2-2017,
,CALF Construction,Limerick,"Cosgrave Park, Moyross, Limerick City  (Phase 1)",21,Co-operative Housing Ireland,,,,,Q2-2018,
,CALF Construction,Limerick,"Hyde Road, Limerick City (Phase 1)",20,Cluid Housing ,,,,,,Q1-2018
,CALF Turnkey,Limerick,"Revised - Ard Aulin, Mungret, Co Limerick (Phase 1)",7,Cluid Housing ,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish (Phase 1)",14,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Longford,"Knock, Lanesborough (Phase 1)",4,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish (Phase 2)",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Longford,"Knock, Lanesborough (Phase 2)",27,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Longford,"Church View, Lanesborough",14,*N/A,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Longford,"Rathcline Road, Lanesborough",4,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Longford,"Edgeworthstown Road, Ballymahon",4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Longford,"Daroge, Ballymahon",1,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Longford,"'Rose Cottage', Ballinalee",6,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CALF Turnkey,Longford,"Cartrun Breac, Lisbrack Rd, Longford (Phase 1)",7,Cluid Housing ,,,,,,Q1-2017
,CALF Construction,Longford,"Colmcille Terrace, Granard, Co. Longford. (Phase 1)",21,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q2-2018,,
,SHIP CONSTRUCTION,Louth,"55/57 Bothar Brugha, Drogheda",3,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Louth,Drogheda (Derelicts Project - Phase 1),4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (1),7,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (2),7,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (3),4,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Louth,"Woodlands, Dunleer",4,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,Louth,Boice Court (Phase 2 - 4),69,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Louth,Father Finn Park (Phase 2),17,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (4),6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Louth,"Mount Avenue, Dundalk",75,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (5),5,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Louth,Drogheda (Derelicts Project - Phase 2),4,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Louth,Drogheda (Derelicts Project - Phase 3),4,*N/A,,,,,Q3-2017,
,REGENERATION,Louth,Cox's Demesne Phase 2a,14,*N/A,,,,,,Q4-2016
,REGENERATION,Louth,Cox's Demesne Phase 2b,22,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Louth,"5 Slieveroe Cresent, Dundalk",1,Cluid Housing Association,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Louth,"Castletowncooley, Riverstown, Dundalk",1,Túath Housing Association Ltd,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Louth,"Barrack Street, Dundalk",21,Simon Community : Dundalk Simon,"Stage 1 approved in Q1-2016, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Louth,"Saltown, Dundalk",7,North East Housing Association Ltd,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Louth,"McArdle Green (Moneymore), Drogheda",1,North East Housing Association Ltd,,,,,Q1-2018,
,CAS CONSTRUCTION,Louth,"Tierney Street, Ardee",7,Oaklee Housing Trust,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Louth,"Tredagh View, Drogheda",1,Respond,,,,,,Q1-2017
,CAS CONSTRUCTION,Louth,"36 Strand, Clogherhead",4,St. John of God Housing Association Ltd,"Stage 1 approved in Q2-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Louth,Coulter Park,6,Túath Housing Association Ltd,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Louth,"Four Winds, Mullacapple, Collon",1,St. John of God Housing Association Ltd,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CALF Construction,Louth,"2 Slieve Row Crescent, Dundalk (Phase 1)",1,Cluid Housing ,,,,,,Q2-2016
,CALF Turnkey,Louth,"Aston Village, Drogheda (Phase 1)",8,Respond,,,,,Q1-2018,
,CALF Turnkey,Louth,"Avourwen Meadows, Drogheda, Co. Louth (Phase 1)",50,Oaklee Housing ,,,,Scheme approved for CALF funding Q1-2017,,
,CALF Construction,Louth,"Bishops Court, Dundalk, Co Louth  (Phase 1)",2,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q2-2017,,
,CALF Turnkey,Louth,"Castle Court, Castlebellingham, Louth (Phase 1)",4,Cluid Housing ,,,,,,Q1-2017
,CALF Turnkey,Louth,"Castle Court, Castlebellingham, Louth (Phase 2)",10,Cluid Housing ,,,,,,Q1-2017
,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 1)",29,Túath Housing Association Ltd,,,,,,Q1-2018
,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 2)",8,Túath Housing Association Ltd,,,,,Q2-2017,
,CALF Turnkey,Louth,"Castleguard, Ardee, Co. Louth (Phase 3)",65,Túath Housing Association Ltd,,,,,Q2-2017,
,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 1)*",13,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 2)",10,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Louth,"Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 3)",5,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Louth,Coulter Place Armagh Road (Phase 1),10,Cluid Housing ,,,,,,Q1-2017
,CALF Turnkey,Louth,Coulter Place Armagh Road (Phase 2),12,Cluid Housing ,,,,,,Q3-2017
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 1)*",12,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 10)",10,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 2)*",12,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 3)*",8,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 4)*",11,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 5)*",15,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 6)*",10,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 7)",12,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 8)",8,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Louth,"Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 9)",14,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Construction,Louth,"Fire Station Site, Scarlett St, Drogheda (Phase 1)",15,North & East Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Louth,"Knock Shee, Old Golf Links Road, Blackrock, Co Louth  (Phase 1)",3,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Louth,"Liscorrie, Bog Lane, Drogheda (Phase 1)",41,Túath Housing Association Ltd,,,,,,Q4-2017
,CALF Construction,Louth,"Post Tender - Clos na Manach, Carlingford, Co Louth (Phase 1)",10,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Louth,"Rath na Gloine, Commons Road, Louth (Phase 1)",3,Cluid Housing ,,,,,,Q3-2016
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 1)",6,North & East Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 2)",8,North & East Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 3)",6,North & East Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 1)",4,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 2)",6,Túath Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 3)",7,Túath Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 4)",12,Túath Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 5)",6,Túath Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 6)",16,Túath Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Revised - 43 Units at Mount Hamilton, Dundalk, Co Louth (Phase 1)",12,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Louth,"Revised - 43 Units at Mount Hamilton, Dundalk, Co Louth (Phase 2)",31,Cluid Housing ,,,,,Q4-2016,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 4)",7,North & East Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 5)",2,North & East Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 6)",1,North & East Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 7)",4,North & East Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 8)",4,North & East Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Louth,"Rathmullen Road, Drogheda, Co. Louth (Phase 9)",16,North & East Housing Association Ltd,,,,,Q4-2017,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Louth,"Ravel Ardee Road, Dunleer",80,*N/A,,,Q1-2018,,,
,SHIP CONSTRUCTION TURNKEY,Mayo,"Slinaunroe, Clogher (SRD)",1,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Mayo,"Market Street, Swinford",2,*N/A,"Stage 1 approved in Q1-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Mayo,"Knocknageeha, Newport",1,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Mayo,"Kilkelly Road, Knock (Phase 3)",4,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Mayo,Kilmeena (Phase 2),4,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Mayo,"Knockmore, Ballina",8,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Mayo,"Radharc an tSaillin, Binghamstown, Belmullet (Phase 2)",4,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Mayo,"Sliabh Rua, Foxford (Phase 3)",10,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Mayo,"Woodlands, Balla (Phase 3)",4,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Mayo,"Abbeyquarter, Ballyhaunis",18,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Mayo,"Tonragee West, Achill (Phase 2)",4,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Mayo,"Sli na Roba, Friarsquarter, Ballinrobe",16,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Mayo,"Marian Crescent, Ballina",4,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Mayo,"Tubberhill, Westport (Phase 3)",21,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Mayo,"St. Patrick's Terrace, Westport",1,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Mayo,"Parke, Castlebar",8,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,Killavally,10,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Lios na Circa, Saleen, Castlebar",22,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Kilkelly Road, Swinford",27,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Barhauve, Rossport (SRD)",1,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Mayo,"Glaggaun, Ballycroy (SRD)",1,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Mayo,"Glengad, Pollatomish (SRD)",1,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Mayo,"Gorthbrack, Inver (SRD)",1,*N/A,,,,,,Q1-2018
,CAS CONSTRUCTION,Mayo,"Admiral Browne Road, Foxford (Phase 2)",4,Society of Saint Vincent de Paul,,,,,,Q1-2018
,CAS CONSTRUCTION,Mayo,"Killosheehan, Ballinrobe",6,Society of Saint Vincent de Paul,,,,,Q2-2018,
,CAS CONSTRUCTION,Mayo,"Admiral Browne Road, Foxford (Phase 1)",8,Society of Saint Vincent de Paul,,,,,,Q3-2016
,CAS CONSTRUCTION,Mayo,"Logmore, Belmullet",7,Irish Wheelchair Association Ltd,,,,,,Q2-2017
,CALF Turnkey,Mayo,"Glenlara, Westport, Co Mayo  (Phase 1)",10,Co-operative Housing Ireland,,,,,Q2-2018,
,CALF Turnkey,Mayo,"The Sycamores, Ballina (Phase 1)",11,Cluid Housing ,,,,Scheme approved for CALF funding Q1-2018,,
,SHIP CONSTRUCTION RAPID,Meath,Kilmainhamwood,4,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Meath,Cortown,10,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Meath,Oldcastle,16,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Meath,"Proudstown Road, Navan",4,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Meath,Bettystown (Phase 2),15,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Meath,"St. Oliver's, Ratoath",17,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Meath,"Riverside, Kells",40,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Meath,"Cherry Court, Summerhill",19,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Meath,"Connaught Grove, Athboy",32,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Meath,Nobber,19,*N/A,"Stage 1 approved in Q2-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Meath,Carlanstown,13,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Meath,Donore,21,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Meath,Dunshaughlin,25,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Meath,Bettystown (Phase 1),16,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Meath,Farganstown,42,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Meath,"Blackcastle, Slane Road, Navan",17,Túath Housing Association Ltd,,,,,Q4-2017,
,CALF Turnkey,Meath,"27 Ardmore Rise, Bettystown, Co Meath  (Phase 1)",1,North & East Housing Association Ltd,,,,,Q2-2017,
,CALF Turnkey,Meath,"6 Units Seabury Lawns, Mornington, Co Meath (Phase 1)",6,Cluid Housing ,,,,,,Q1-2018
,CALF Turnkey,Meath,"BlackCastle,Slane Road, Navan, Co. Meath (Phase 1)",9,Túath Housing Association Ltd,,,,,Q3-2017,
,CALF Turnkey,Meath,"Ceamach Close, Donacarney, Co Meath  (Phase 1)",7,Cluid Housing ,,,,,,Q2-2018
,CALF Turnkey,Meath,"Ceamach Close, Donacarney, Co Meath  (Phase 2)*",9,Cluid Housing ,,,,,Q4-2017,
,CALF Turnkey,Meath,"Cherryvalley, Rathmoylan, Co Meath (Phase 1)",9,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Meath,"Churchfields, Ashbourne, Co Meath (Phase 1)",8,Túath Housing Association Ltd,,,,,,Q2-2017
,CALF Turnkey,Meath,"Commons Road, Navan, Co Meath  (Phase 1)",12,North & East Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 1)",10,Túath Housing Association Ltd,,,,,,Q1-2018
,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 2)*",8,Túath Housing Association Ltd,,,,,,Q1-2018
,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 3)",4,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 4)",12,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 5)",18,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 6)",12,Túath Housing Association Ltd,,,,,Q3-2017,
,CALF Turnkey,Meath,"Eastham Square, Bettystown, Meath (Phase 1)",5,Cluid Housing ,,,,,Q2-2018,
,CALF Turnkey,Meath,"Frederick Manor, Ashbourne, Co. Meath (Phase 1)",4,Cluid Housing ,,,,,Q4-2017,
,CALF Turnkey,Meath,"Frederick Manor, Ashbourne, Co. Meath (Phase 2)",7,Cluid Housing ,,,,,Q4-2017,
,CALF Turnkey,Meath,"Grangehall, Dunshaughlin (Phase 1)",7,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Meath,"Kellets Grove, Dunshauglin, Co Meath  (Phase 1)*",6,Túath Housing Association Ltd,,,,,,Q1-2018
,CALF Turnkey,Meath,"Mill Lane, Flower Hill, Navan, Co Meath (Phase 1)",20,Oaklee Housing ,,,,,,Q1-2016
,CALF Turnkey,Meath,"Millrace Court, Emmet Street, Trim, Co Meath  (Phase 1)",11,North & East Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Meath,"Milltown, Ashbourne, Co Meath (Phase 1)",11,Cluid Housing ,,,,,,Q1-2017
,CALF Turnkey,Meath,"Milltown, Ashbourne, Co Meath (Phase 2)",36,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Meath,"Milltown, Ashbourne, Co Meath (Phase 3)",20,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Meath,"Revised - Fitzherbert Wood, Slane Road, Navan, Co Meath  (Phase 1)",44,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Meath,"Royal Oaks, Enfield, Co Meath (Phase 1)*",4,Cluid Housing ,,,,,,Q2-2017
,CALF Turnkey,Meath,"Seabury Lawns, Mornington, Co. Meath (Phase 1)",25,Cluid Housing ,,,,,,Q3-2017
,CALF Turnkey,Meath,"Station Road, Dunboyne, Co. Meath (Phase 1)*",24,Respond,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Meath,"Tubberclaire, Navan, Co Meath (Phase 1)",23,Cluid Housing ,,,,,,Q2-2016
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Drumbear Wood, Monaghan Town",12,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town (Phase 3)",6,*N/A,,,,,,Q4-2017
